iter	Passed	Remaining
398	171053	257652
399	171532	257298
400	171932	256826
401	172365	256404
402	172857	256068
403	173335	255713
404	173819	255363
405	174305	255018
406	174778	254652
407	175253	254289
408	175725	253920
409	176190	253542
410	176662	253172
411	177160	252840
412	177539	252338
413	177981	251925
414	178383	251455
415	178844	251069
416	179297	250672
417	179760	250288
418	180258	249953
419	180682	249513
420	181196	249199
421	181684	248847
422	182145	248459
423	182618	248086
424	183037	247638
425	183491	247239
426	183940	246833
427	184431	246483
428	184897	246099
429	185395	245757
430	185850	245357
431	186324	244981
432	186769	244568
433	187256	244210
434	187715	243814
435	188203	243455
436	188632	243020
437	189058	242582
438	189538	242211
439	190019	241843
440	190398	241344
441	190880	240976
442	191387	240637
443	191845	240239
444	192332	239874
445	192804	239492
446	193287	239123
447	193740	238715
448	194189	238303
449	194634	237886
450	195108	237504
451	195622	237170
452	196121	236817
453	196575	236410
454	197042	236017
455	197524	235643
456	198011	235273
457	198440	234835
458	198912	234448
459	199374	234048
460	199838	233651
461	200314	233266
462	200763	232850
463	201240	232467
464	201701	232064
465	202173	231675
466	202663	231304
467	203127	230905
468	203601	230516
469	204087	230140
470	204558	229748
471	205037	229363
472	205539	229005
473	206001	228601
474	206490	228226
475	206967	227838
476	207437	227441
477	207889	227025
478	208323	226589
479	208802	226202
480	209279	225813
481	209765	225432
482	210259	225060
483	210745	224678
484	211212	224276
485	211678	223873
486	212139	223465
487	212605	223061
488	213072	222658
489	213520	222235
490	213980	221824
491	214450	221424
492	214912	221015
493	215388	220620
494	215860	220221
495	216307	219796
496	216799	219417
497	217266	219012
498	217750	218623
499	218236	218236
500	218685	217812
501	219166	217420
502	219649	217029
503	220172	216678
504	220643	216274
505	221118	215874
506	221581	215462
507	221978	214987
508	222454	214587
509	222875	214134
510	223341	213725
511	223808	213317
512	224262	212896
513	224706	212465
514	225180	212063
515	225646	211653
516	226072	211205
517	226536	210793
518	227003	210382
519	227502	210002
520	227970	209593
521	228416	209162
522	228855	208726
523	229311	208306
524	229790	207905
525	230291	207524
526	230769	207123
527	231224	206700
528	231720	206314
529	232167	205884
530	232660	205495
531	233122	205077
532	233588	204663
533	234075	204268
534	234572	203880
535	235039	203466
536	235485	203034
537	235972	202638
538	236458	202239
539	236917	201818
540	237385	201405
541	237828	200969
542	238279	200541
543	238757	200134
544	239213	199710
545	239695	199307
546	240111	198849
547	240603	198454
548	241057	198027
549	241549	197631
550	242003	197203
551	242475	196791
552	242958	196388
553	243438	195980
554	243931	195584
