iter	RMSE
149	1.002027527
150	1.001634645
151	1.001276618
152	1.000929106
153	1.000522006
154	1.000155117
155	0.9998651507
156	0.999537852
157	0.9992355177
158	0.9989567424
159	0.9986416819
160	0.9984134474
161	0.9981766709
162	0.9978846176
163	0.9976199251
164	0.9973825307
165	0.9971507857
166	0.9969146302
167	0.9966712025
168	0.9964464189
169	0.9962675699
170	0.9960919054
171	0.9958874163
172	0.9957140276
173	0.9955478167
174	0.9953490656
175	0.9951679223
176	0.994988785
177	0.9948016478
178	0.9946711209
179	0.9945377647
180	0.9943904592
181	0.9942683989
182	0.9941073692
183	0.9939528935
184	0.993818507
185	0.9936753437
186	0.9935462049
187	0.993426155
188	0.9933216199
189	0.9931923449
190	0.9930727592
191	0.9929644409
192	0.9928792372
193	0.9927688098
194	0.9926490387
195	0.9925663722
196	0.9924515135
197	0.9923805556
198	0.9922937864
199	0.9922016373
200	0.9921081057
201	0.9920142025
202	0.9919297771
203	0.9918199854
204	0.9917149905
205	0.9916115152
206	0.9915105037
207	0.9914275696
208	0.9913735771
209	0.9912889609
210	0.9912139822
211	0.991137359
212	0.9910351543
213	0.9909622299
214	0.9908733403
215	0.9908100595
216	0.9907440638
217	0.9906537808
218	0.9905767781
219	0.9904943953
220	0.9904204841
221	0.9903476382
222	0.9903059816
223	0.9902317915
224	0.9901851372
225	0.9901386486
226	0.9900952937
227	0.9900207267
228	0.9899632104
229	0.9899296349
230	0.9898598618
231	0.9898097309
232	0.989766057
233	0.9897150783
234	0.9896660648
235	0.9896125051
236	0.9895585139
237	0.9895159038
238	0.9894429123
239	0.9893785416
240	0.9893442767
241	0.9892872461
242	0.9892263995
243	0.9891683869
244	0.9891209625
245	0.9890842221
246	0.989041649
247	0.9889598784
248	0.9888771662
249	0.9888198109
250	0.9887798591
251	0.9887177627
252	0.9886840167
253	0.988642524
254	0.9886095534
255	0.9885685065
256	0.9885218986
257	0.9884876222
258	0.9884645005
259	0.98842784
260	0.988369534
261	0.9883342984
262	0.9883109419
263	0.9882636291
264	0.9882306501
265	0.988174078
266	0.9881293544
267	0.9880991645
268	0.9880394978
269	0.9880128978
270	0.9879591277
271	0.9879177088
272	0.9878823661
273	0.9878344454
274	0.987806476
275	0.9877683707
276	0.987735434
277	0.9876956839
278	0.987685788
279	0.9876375545
280	0.9875976049
281	0.9875400231
282	0.9875099431
283	0.9874832105
284	0.9874504703
285	0.9874298996
286	0.9873928833
287	0.9873596758
288	0.987339184
289	0.9873072016
290	0.987273496
291	0.9872418155
292	0.9871950451
293	0.9871622717
294	0.9871273537
295	0.9870994416
296	0.9870771247
297	0.9870333743
298	0.9869840225
299	0.9869513637
300	0.9869129943
301	0.9868908049
302	0.9868629647
303	0.9868324655
304	0.9868179537
305	0.9867821648
306	0.986756939
307	0.9867392431
308	0.9867188323
309	0.9866820698
310	0.9866699048
311	0.9866423735
312	0.9866219425
313	0.9865793238
314	0.9865407648
315	0.9865032917
316	0.986467651
317	0.986456068
318	0.9864392546
319	0.9864095341
320	0.9863889438
321	0.9863700819
322	0.9863428833
323	0.9863136528
324	0.986287338
325	0.9862520343
326	0.9862348763
327	0.9862142209
328	0.9861884102
329	0.9861693603
330	0.9861475255
331	0.9861231164
332	0.986093266
333	0.986054658
334	0.9860241812
335	0.9859944425
336	0.9859809494
337	0.9859576312
338	0.985940955
339	0.9859147227
340	0.9858746086
341	0.9858514537
342	0.9858398966
343	0.9858116138
344	0.9857928149
345	0.9857677677
346	0.9857569715
347	0.9857364925
348	0.9857211018
349	0.9857070944
350	0.9856881158
351	0.9856753305
352	0.9856676056
353	0.9856575781
354	0.9856241325
355	0.9856034853
356	0.9855898944
357	0.985567083
358	0.9855537862
359	0.9855337975
360	0.9855031409
361	0.9854803027
362	0.9854652488
363	0.9854419999
364	0.9854216381
365	0.9853964325
366	0.9853857292
367	0.9853666285
368	0.9853380756
369	0.9853292476
370	0.9853000114
371	0.9852804415
372	0.985269126
373	0.9852246624
374	0.9852022855
375	0.9851869627
376	0.9851688691
377	0.9851517697
378	0.9851249301
379	0.9851094445
380	0.9850768222
381	0.9850576482
382	0.9850344407
383	0.9850172239
384	0.9849790331
385	0.9849666586
386	0.9849571777
387	0.9849428096
388	0.9849287484
389	0.9849054179
390	0.9848929906
391	0.9848747051
392	0.9848585427
393	0.9848311926
394	0.9848161286
395	0.9847905113
396	0.9847712952
397	0.9847423811
398	0.9847247157
399	0.9847065971
400	0.9846957131
401	0.984670598
402	0.9846575252
403	0.9846404371
404	0.9846240207
405	0.9846119717
406	0.9845915646
407	0.9845705091
408	0.9845432439
409	0.9845218818
410	0.98451266
411	0.9844982943
412	0.9844828194
413	0.984458076
414	0.9844523018
415	0.9844380472
416	0.9844033466
417	0.9843869647
418	0.9843781992
419	0.9843695505
420	0.984351179
421	0.9843303133
422	0.9843131585
423	0.9842884401
424	0.9842725851
425	0.9842419013
426	0.9842181822
427	0.9841973107
428	0.9841798639
429	0.9841691394
430	0.9841553288
431	0.9841355452
432	0.9841140158
433	0.9840892051
434	0.9840749815
435	0.9840628574
436	0.9840524965
437	0.9840273442
438	0.9840154044
439	0.9839969601
440	0.9839875036
441	0.9839761294
442	0.9839660669
443	0.9839387313
444	0.9839209934
445	0.9839033721
446	0.9838889189
447	0.9838763366
448	0.9838620083
449	0.9838349951
450	0.98381359
451	0.9837953517
452	0.9837845642
453	0.9837511429
454	0.9837459098
455	0.9837304601
456	0.983721123
457	0.9836907499
458	0.9836786742
459	0.9836571029
460	0.9836512305
461	0.9836381826
462	0.9836195483
463	0.9835906493
464	0.9835653554
465	0.9835509631
466	0.9835197743
467	0.983494219
468	0.9834859685
469	0.9834750288
470	0.9834562042
471	0.9834490615
472	0.9834440014
473	0.9834286705
474	0.9834138811
475	0.9834004212
476	0.9833804328
477	0.9833756722
478	0.9833611114
479	0.9833495604
480	0.9833378254
481	0.9833079999
482	0.9832960154
483	0.9832849745
484	0.9832756052
485	0.9832607824
486	0.9832510995
487	0.9832378587
488	0.9832269912
489	0.9832128527
490	0.9831923116
491	0.9831800678
492	0.9831618442
493	0.983142522
494	0.9831362953
495	0.9831266004
496	0.9831170483
497	0.9830888361
498	0.9830720387
499	0.9830509273
500	0.9830422433
501	0.9830210989
502	0.98301335
503	0.9829920299
504	0.9829719271
505	0.9829583227
506	0.9829385705
507	0.9829248566
508	0.9829031594
509	0.9828826196
510	0.9828633228
511	0.9828522607
512	0.9828335151
513	0.9828208006
514	0.982805565
515	0.9827868881
516	0.9827776412
517	0.9827661208
518	0.9827506534
519	0.982727399
520	0.9827247046
521	0.9827192853
522	0.9827050067
523	0.982689269
524	0.9826671029
525	0.9826586861
526	0.98264445
527	0.9826267878
528	0.9826232103
529	0.9826067083
530	0.9825981501
531	0.9825880142
532	0.9825737218
533	0.982564655
534	0.9825462888
535	0.9825212996
536	0.9825060756
537	0.9824933792
538	0.9824754973
539	0.9824604819
540	0.9824540842
541	0.9824398572
542	0.9824194618
543	0.9824076532
544	0.9823923329
545	0.9823782819
546	0.9823619936
547	0.9823485867
548	0.9823411454
549	0.982323617
550	0.9823085393
551	0.9822898623
552	0.9822788643
553	0.9822728158
554	0.9822649327
555	0.9822427567
556	0.9822270924
557	0.9822125775
558	0.9822005983
559	0.9821918535
560	0.9821749008
561	0.9821607003
562	0.9821490495
563	0.9821347485
564	0.9821175369
565	0.9821106373
566	0.9821005019
567	0.9820953931
568	0.9820745359
569	0.9820687006
570	0.9820607223
571	0.9820512146
572	0.9820294112
573	0.9820260863
574	0.9820069446
575	0.9819902227
576	0.9819853373
577	0.9819694881
578	0.9819628573
579	0.9819484594
580	0.9819374552
581	0.9819279608
582	0.9819107267
583	0.9819045018
584	0.9819003863
585	0.9818816017
586	0.9818631573
587	0.9818512083
588	0.9818411325
589	0.9818340458
590	0.9818255286
591	0.9818141591
592	0.9817986967
593	0.9817815386
594	0.9817719305
595	0.9817557095
596	0.981751643
597	0.9817468454
598	0.9817394879
599	0.981726303
600	0.9817184481
601	0.9817056436
602	0.9816953161
603	0.9816885773
604	0.9816721469
605	0.9816616951
606	0.9816550025
607	0.9816392516
608	0.9816276125
609	0.9816214132
610	0.9815913759
611	0.9815871456
612	0.9815810669
613	0.9815795862
614	0.9815691588
615	0.9815577407
616	0.9815535022
617	0.9815401717
618	0.9815245894
619	0.9815144257
620	0.9815043828
621	0.9814848842
622	0.9814776668
623	0.9814604649
624	0.9814525906
625	0.9814337252
626	0.9814257906
627	0.9814128496
628	0.9814039521
629	0.9813916264
630	0.9813826704
631	0.9813722388
632	0.9813592462
633	0.9813503272
634	0.9813443507
635	0.9813349105
636	0.9813176033
637	0.9813010436
638	0.9812925517
639	0.981285819
640	0.9812717467
641	0.9812618591
642	0.9812513723
643	0.9812395737
644	0.9812282814
645	0.9812230632
646	0.9812065749
647	0.9812022602
648	0.9811887252
649	0.9811857539
650	0.9811820314
651	0.981176065
652	0.9811735857
653	0.9811662383
654	0.981161387
655	0.981153426
656	0.981150267
657	0.9811378677
658	0.9811345667
659	0.9811292533
660	0.9811209844
661	0.9811105544
662	0.9811043023
663	0.981093835
664	0.9810916604
665	0.9810763594
666	0.9810697589
667	0.9810519499
668	0.9810459205
669	0.9810443089
670	0.9810369875
671	0.9810245794
672	0.9810177581
673	0.9810104012
674	0.9809995774
675	0.9809836749
676	0.9809783263
677	0.9809645452
678	0.9809502687
679	0.9809400685
680	0.9809244585
681	0.9809156133
682	0.9809090366
683	0.9809000123
684	0.9808910489
685	0.9808783891
686	0.9808659002
687	0.9808609896
688	0.9808423866
689	0.9808357607
690	0.9808270801
691	0.980811844
692	0.9808068129
693	0.9807941253
694	0.9807896658
695	0.980782502
696	0.980775504
697	0.980769177
698	0.9807590106
699	0.9807524858
700	0.9807409983
701	0.9807335691
702	0.9807254383
703	0.9807085346
704	0.9806990829
705	0.9806971353
706	0.9806886446
707	0.9806843484
708	0.9806742899
709	0.9806567287
710	0.9806542255
711	0.9806472163
712	0.9806360064
713	0.9806224636
714	0.9806158906
715	0.9806020941
716	0.9805954816
717	0.980588256
718	0.98058122
719	0.9805773268
720	0.9805669152
721	0.9805621878
722	0.9805531853
723	0.9805493598
724	0.9805420193
725	0.9805345907
726	0.9805242723
727	0.9805122995
728	0.9805059999
729	0.9805015674
730	0.9804910219
731	0.9804779848
732	0.9804707747
733	0.9804624641
734	0.9804485153
735	0.9804377311
736	0.9804272414
737	0.9804184805
738	0.9803977182
739	0.9803835465
740	0.9803751979
741	0.9803683076
742	0.9803646789
743	0.9803542761
744	0.9803331266
745	0.9803187977
746	0.980309601
747	0.9802971073
748	0.9802836843
749	0.9802674757
750	0.9802602119
751	0.9802459269
752	0.9802389697
753	0.980233751
754	0.98022777
755	0.9802221525
756	0.9802156377
757	0.9802130055
758	0.9802089182
759	0.9802010934
760	0.9801857855
761	0.9801811313
762	0.980172505
763	0.9801628046
764	0.9801467801
765	0.9801414297
766	0.9801251814
767	0.9801229814
768	0.9801211163
769	0.9801087093
770	0.9800964756
771	0.9800882064
772	0.980081372
773	0.9800704552
774	0.9800536936
775	0.9800489674
776	0.9800446989
777	0.980034285
778	0.980023865
779	0.9800172844
780	0.9800126398
781	0.9800004324
782	0.9799985808
783	0.9799808147
784	0.9799747311
785	0.9799692205
786	0.9799648512
787	0.9799597886
788	0.9799575094
789	0.9799478644
790	0.9799397081
791	0.9799366474
792	0.9799214406
793	0.9799169574
794	0.979909557
795	0.9799040864
796	0.9798888436
797	0.9798724254
798	0.9798591878
799	0.9798500481
800	0.9798480846
801	0.9798402026
802	0.9798323397
803	0.9798272401
804	0.9798202966
805	0.9798100705
806	0.9798053145
807	0.979798138
808	0.9797897718
809	0.9797870781
810	0.9797713855
811	0.9797646026
812	0.979761551
813	0.9797580288
814	0.9797489942
815	0.9797432359
816	0.9797376281
817	0.9797336149
818	0.9797269987
819	0.9797196625
820	0.9797139247
821	0.9797064564
822	0.979697484
823	0.9796882685
824	0.979681011
825	0.9796688422
826	0.9796620145
827	0.979657782
828	0.9796519854
829	0.9796434468
830	0.9796315474
831	0.9796217601
832	0.9796189447
833	0.9796139897
834	0.9796062651
835	0.9796032504
836	0.9795968793
837	0.9795900171
838	0.9795802633
839	0.979568349
840	0.9795591231
841	0.9795476444
842	0.9795448286
843	0.9795347833
844	0.9795302382
845	0.9795202103
846	0.979507197
847	0.9795041831
848	0.9794960332
849	0.979485422
850	0.9794790519
851	0.9794770516
852	0.9794699101
853	0.9794632478
854	0.9794573951
855	0.9794450535
856	0.9794390759
857	0.9794308285
858	0.9794283509
859	0.9794141383
860	0.9794109657
861	0.9794024942
862	0.9793998744
863	0.9793935601
864	0.9793910611
865	0.9793891535
866	0.9793790588
867	0.979375201
868	0.9793714881
869	0.9793525352
870	0.9793426402
871	0.9793374556
872	0.9793327275
873	0.9793245933
874	0.9793183182
875	0.9793098246
876	0.979302916
877	0.9793001613
878	0.9792943834
879	0.9792932023
880	0.9792896747
881	0.9792855741
882	0.9792769257
883	0.9792624763
884	0.9792594498
885	0.9792554011
886	0.9792505256
887	0.9792455501
888	0.979242218
889	0.9792325972
890	0.9792256018
891	0.979212529
892	0.9792031303
893	0.9792009936
894	0.9791918008
895	0.9791870768
896	0.979180576
897	0.9791705166
898	0.9791677275
899	0.9791643489
900	0.9791580249
901	0.9791535815
902	0.9791506461
903	0.9791415708
904	0.9791365631
905	0.9791294395
906	0.9791195932
907	0.9791121978
908	0.9791009876
909	0.9790924442
910	0.9790780708
911	0.9790750766
912	0.9790673348
913	0.9790561824
914	0.9790491195
915	0.9790448958
916	0.9790413395
917	0.9790348308
918	0.9790280807
919	0.9790231209
920	0.9790155154
921	0.9790068893
922	0.9790010996
923	0.9789907605
924	0.9789854661
925	0.9789811031
926	0.9789683708
927	0.9789593434
928	0.9789541955
929	0.9789423902
930	0.9789322074
931	0.9789198627
932	0.9789125056
933	0.9789001229
934	0.9788936024
935	0.9788887315
936	0.9788848236
937	0.9788768325
938	0.9788699459
939	0.9788627731
940	0.978858034
941	0.9788533973
942	0.9788392396
943	0.9788353093
944	0.9788324942
945	0.97882891
946	0.9788230811
947	0.9788103526
948	0.9788069894
949	0.9787955216
950	0.978790886
951	0.9787876731
952	0.9787796132
953	0.9787742915
954	0.9787729483
955	0.9787704886
956	0.9787636349
957	0.9787608482
958	0.9787557845
959	0.9787467021
960	0.978744049
961	0.9787420164
962	0.9787389473
963	0.9787251089
964	0.9787164495
965	0.9787115486
966	0.9787021933
967	0.9786999506
968	0.9786915429
969	0.9786859844
970	0.9786836827
971	0.9786740355
972	0.9786680712
973	0.9786597373
974	0.9786523604
975	0.9786456803
976	0.9786382859
977	0.9786283801
978	0.9786241644
979	0.9786173349
980	0.9786117869
981	0.9786096067
982	0.9786013641
983	0.9785977357
984	0.9785914093
985	0.9785863344
986	0.9785808454
987	0.9785717822
988	0.9785633187
989	0.9785499907
990	0.9785432154
991	0.9785406197
992	0.9785377649
993	0.9785326625
994	0.9785235586
995	0.9785138887
996	0.9785106238
997	0.9785025695
998	0.9784945588
999	0.9784880907
